SKU,Name,Category,Unit,UnitPrice,Barcode,Grade,Size,Thickness,MaterialType,Description,StockQuantity
SS-SHT304-2BCHK-1P2,SS Sheet 304 2B CHK 1.2mm,Stainless Sheets,sheet,4497,8.903E+12,304,4ft x 8ft,1.2mm,2B CHK,Stainless sheet 304 2B CHK 1.2mm,0
SS-SHT304-2BCHK-1P5,SS Sheet 304 2B CHK 1.5mm,Stainless Sheets,sheet,5635,8.903E+12,304,4ft x 8ft,1.5mm,2B CHK,Stainless sheet 304 2B CHK 1.5mm,0
SS-SHT304-2BCHK-2P0,SS Sheet 304 2B CHK 2.0mm,Stainless Sheets,sheet,7561,8.903E+12,304,4ft x 8ft,2.0mm,2B CHK,Stainless sheet 304 2B CHK 2.0mm,0
SS-SHT304-2BCHK-3P0,SS Sheet 304 2B CHK 3.0mm,Stainless Sheets,sheet,11399,8.903E+12,304,4ft x 8ft,3.0mm,2B CHK,Stainless sheet 304 2B CHK 3.0mm,0
SS-SHT304-1B-4P0,SS Sheet 304 1B 4.0mm,Stainless Plates,sheet,13620,8.903E+12,304,4ft x 8ft,4.0mm,1B,Stainless sheet 304 1B 4.0mm,0
SS-SHT304-1B-5P0,SS Sheet 304 1B 5.0mm,Stainless Plates,sheet,15799,8.903E+12,304,4ft x 8ft,5.0mm,1B,Stainless sheet 304 1B 5.0mm,0
SS-SHT304-1B-6P0,SS Sheet 304 1B 6.0mm,Stainless Plates,sheet,18161,8.903E+12,304,4ft x 8ft,6.0mm,1B,Stainless sheet 304 1B 6.0mm,0
SS-SHT304-PERF-1X4,SS Perforated Sheet 304 1.0 x 4mm,Stainless Sheets,sheet,3347,8.903E+12,304,1.0 x 4mm,1.0mm,PERFORATED,Stainless perforated sheet 304 1.0 x 4mm hole,0
SS-RT202-1-2X1P2,"SS Round Tube 202 1/2"" x 1.2mm",Stainless Tubes,pc,198,8.903E+12,202,"1/2"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 1/2"" x 1.2mm Standard",0
SS-RT202-5-8X1P2,"SS Round Tube 202 5/8"" x 1.2mm",Stainless Tubes,pc,252,8.903E+12,202,"5/8"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 5/8"" x 1.2mm Standard",0
SS-RT202-3-4X1P2,"SS Round Tube 202 3/4"" x 1.2mm",Stainless Tubes,pc,291,8.903E+12,202,"3/4"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 3/4"" x 1.2mm Standard",0
SS-RT202-7-8X1P2,"SS Round Tube 202 7/8"" x 1.2mm",Stainless Tubes,pc,346,8.903E+12,202,"7/8"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 7/8"" x 1.2mm Standard",0
SS-RT202-1X1P2,"SS Round Tube 202 1"" x 1.2mm",Stainless Tubes,pc,390,8.903E+12,202,"1"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 1"" x 1.2mm Standard",0
SS-RT202-11-4X1P2,"SS Round Tube 202 1 1/4"" x 1.2mm",Stainless Tubes,pc,519,8.903E+12,202,"1 1/4"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 1 1/4"" x 1.2mm Standard",0
SS-RT202-11-2X1P2,"SS Round Tube 202 1 1/2"" x 1.2mm",Stainless Tubes,pc,621,8.903E+12,202,"1 1/2"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 1 1/2"" x 1.2mm Standard",0
SS-RT202-13-4X1P2,"SS Round Tube 202 1 3/4"" x 1.2mm",Stainless Tubes,pc,740,8.903E+12,202,"1 3/4"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 1 3/4"" x 1.2mm Standard",0
SS-RT202-2X1P2,"SS Round Tube 202 2"" x 1.2mm",Stainless Tubes,pc,848,8.903E+12,202,"2"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 2"" x 1.2mm Standard",0
SS-RT202-21-2X1P2,"SS Round Tube 202 2 1/2"" x 1.2mm",Stainless Tubes,pc,1028,8.903E+12,202,"2 1/2"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 2 1/2"" x 1.2mm Standard",0
SS-RT202-3X1P2,"SS Round Tube 202 3"" x 1.2mm",Stainless Tubes,pc,1282,8.903E+12,202,"3"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 3"" x 1.2mm Standard",0
SS-RT202-4X1P2,"SS Round Tube 202 4"" x 1.2mm",Stainless Tubes,pc,1715,8.903E+12,202,"4"" x 1.2mm",1.2mm,Standard,"Stainless round tube 202 4"" x 1.2mm Standard",0
SS-RT202-1-2X1P5,"SS Round Tube 202 1/2"" x 1.5mm",Stainless Tubes,pc,238,8.903E+12,202,"1/2"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 1/2"" x 1.5mm Standard",0
SS-RT202-5-8X1P5,"SS Round Tube 202 5/8"" x 1.5mm",Stainless Tubes,pc,304,8.903E+12,202,"5/8"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 5/8"" x 1.5mm Standard",0
SS-RT202-3-4X1P5,"SS Round Tube 202 3/4"" x 1.5mm",Stainless Tubes,pc,371,8.903E+12,202,"3/4"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 3/4"" x 1.5mm Standard",0
SS-RT202-7-8X1P5,"SS Round Tube 202 7/8"" x 1.5mm",Stainless Tubes,pc,432,8.903E+12,202,"7/8"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 7/8"" x 1.5mm Standard",0
SS-RT202-1X1P5,"SS Round Tube 202 1"" x 1.5mm",Stainless Tubes,pc,492,8.903E+12,202,"1"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 1"" x 1.5mm Standard",0
SS-RT202-11-4X1P5,"SS Round Tube 202 1 1/4"" x 1.5mm",Stainless Tubes,pc,632,8.903E+12,202,"1 1/4"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 1 1/4"" x 1.5mm Standard",0
SS-RT202-11-2X1P5,"SS Round Tube 202 1 1/2"" x 1.5mm",Stainless Tubes,pc,768,8.903E+12,202,"1 1/2"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 1 1/2"" x 1.5mm Standard",0
SS-RT202-13-4X1P5,"SS Round Tube 202 1 3/4"" x 1.5mm",Stainless Tubes,pc,903,8.903E+12,202,"1 3/4"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 1 3/4"" x 1.5mm Standard",0
SS-RT202-2X1P5,"SS Round Tube 202 2"" x 1.5mm",Stainless Tubes,pc,1035,8.903E+12,202,"2"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 2"" x 1.5mm Standard",0
SS-RT202-21-2X1P5,"SS Round Tube 202 2 1/2"" x 1.5mm",Stainless Tubes,pc,1292,8.903E+12,202,"2 1/2"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 2 1/2"" x 1.5mm Standard",0
SS-RT202-3X1P5,"SS Round Tube 202 3"" x 1.5mm",Stainless Tubes,pc,1567,8.903E+12,202,"3"" x 1.5mm",1.5mm,Standard,"Stainless round tube 202 3"" x 1.5mm Standard",0
