"SKU","Name","Category","Unit","UnitPrice","Barcode","Grade","Size","Thickness","MaterialType","Description","StockQuantity"
"SS-SHT202-2B-0P4","SS Sheet 202 2B 0.4mm","Stainless Sheets","sheet","759","","202","4ft x 8ft","0.4mm","2B","Stainless sheet 202 2B 0.4mm","0"
"SS-SHT202-2B-0P5","SS Sheet 202 2B 0.5mm","Stainless Sheets","sheet","999","","202","4ft x 8ft","0.5mm","2B","Stainless sheet 202 2B 0.5mm","0"
"SS-SHT202-2B-0P6","SS Sheet 202 2B 0.6mm","Stainless Sheets","sheet","1164","","202","4ft x 8ft","0.6mm","2B","Stainless sheet 202 2B 0.6mm","0"
"SS-SHT202-2B-0P7","SS Sheet 202 2B 0.7mm","Stainless Sheets","sheet","1387","","202","4ft x 8ft","0.7mm","2B","Stainless sheet 202 2B 0.7mm","0"
"SS-SHT202-2B-0P8","SS Sheet 202 2B 0.8mm","Stainless Sheets","sheet","1616","","202","4ft x 8ft","0.8mm","2B","Stainless sheet 202 2B 0.8mm","0"
"SS-SHT202-2B-0P9","SS Sheet 202 2B 0.9mm","Stainless Sheets","sheet","1808","","202","4ft x 8ft","0.9mm","2B","Stainless sheet 202 2B 0.9mm","0"
"SS-SHT202-2B-1P0","SS Sheet 202 2B 1.0mm","Stainless Sheets","sheet","2017","","202","4ft x 8ft","1.0mm","2B","Stainless sheet 202 2B 1.0mm","0"
"SS-SHT202-2B-1P2","SS Sheet 202 2B 1.2mm","Stainless Sheets","sheet","2470","","202","4ft x 8ft","1.2mm","2B","Stainless sheet 202 2B 1.2mm","0"
"SS-SHT202-2B-1P5","SS Sheet 202 2B 1.5mm","Stainless Sheets","sheet","3143","","202","4ft x 8ft","1.5mm","2B","Stainless sheet 202 2B 1.5mm","0"
"SS-SHT202-2B-2P0","SS Sheet 202 2B 2.0mm","Stainless Sheets","sheet","4287","","202","4ft x 8ft","2.0mm","2B","Stainless sheet 202 2B 2.0mm","0"
"SS-SHT202-2B-3P0","SS Sheet 202 2B 3.0mm","Stainless Sheets","sheet","6528","","202","4ft x 8ft","3.0mm","2B","Stainless sheet 202 2B 3.0mm","0"
"SS-SHT202-1B-4P0","SS Sheet 202 1B 4.0mm","Stainless Sheets","sheet","8752","","202","4ft x 8ft","4.0mm","1B","Stainless sheet 202 1B 4.0mm","0"
"SS-SHT202-MIR-0P4","SS Sheet 202 MIR 0.4mm","Stainless Sheets","sheet","981","","202","4ft x 8ft","0.4mm","MIR","Stainless sheet 202 MIR 0.4mm","0"
"SS-SHT202-MIR-0P5","SS Sheet 202 MIR 0.5mm","Stainless Sheets","sheet","1221","","202","4ft x 8ft","0.5mm","MIR","Stainless sheet 202 MIR 0.5mm","0"
"SS-SHT202-MIR-0P6","SS Sheet 202 MIR 0.6mm","Stainless Sheets","sheet","1386","","202","4ft x 8ft","0.6mm","MIR","Stainless sheet 202 MIR 0.6mm","0"
"SS-SHT202-MIR-0P7","SS Sheet 202 MIR 0.7mm","Stainless Sheets","sheet","1609","","202","4ft x 8ft","0.7mm","MIR","Stainless sheet 202 MIR 0.7mm","0"
"SS-SHT202-MIR-0P8","SS Sheet 202 MIR 0.8mm","Stainless Sheets","sheet","1837","","202","4ft x 8ft","0.8mm","MIR","Stainless sheet 202 MIR 0.8mm","0"
"SS-SHT202-MIR-0P9","SS Sheet 202 MIR 0.9mm","Stainless Sheets","sheet","2030","","202","4ft x 8ft","0.9mm","MIR","Stainless sheet 202 MIR 0.9mm","0"
"SS-SHT202-MIR-1P0","SS Sheet 202 MIR 1.0mm","Stainless Sheets","sheet","2239","","202","4ft x 8ft","1.0mm","MIR","Stainless sheet 202 MIR 1.0mm","0"
"SS-SHT202-MIR-1P2","SS Sheet 202 MIR 1.2mm","Stainless Sheets","sheet","2744","","202","4ft x 8ft","1.2mm","MIR","Stainless sheet 202 MIR 1.2mm","0"
"SS-SHT202-MIR-1P5","SS Sheet 202 MIR 1.5mm","Stainless Sheets","sheet","3418","","202","4ft x 8ft","1.5mm","MIR","Stainless sheet 202 MIR 1.5mm","0"
"SS-SHT202-MIR-3P0","SS Sheet 202 MIR 3.0mm","Stainless Sheets","sheet","4904","","202","4ft x 8ft","3.0mm","MIR","Stainless sheet 202 MIR 3.0mm","0"
"SS-SHT202-HL-0P6","SS Sheet 202 HL 0.6mm","Stainless Sheets","sheet","1344","","202","4ft x 8ft","0.6mm","HL","Stainless sheet 202 HL 0.6mm","0"
"SS-SHT202-HL-0P7","SS Sheet 202 HL 0.7mm","Stainless Sheets","sheet","1535","","202","4ft x 8ft","0.7mm","HL","Stainless sheet 202 HL 0.7mm","0"
"SS-SHT202-HL-0P8","SS Sheet 202 HL 0.8mm","Stainless Sheets","sheet","1763","","202","4ft x 8ft","0.8mm","HL","Stainless sheet 202 HL 0.8mm","0"
"SS-SHT202-HL-0P9","SS Sheet 202 HL 0.9mm","Stainless Sheets","sheet","1945","","202","4ft x 8ft","0.9mm","HL","Stainless sheet 202 HL 0.9mm","0"
"SS-SHT202-HL-1P0","SS Sheet 202 HL 1.0mm","Stainless Sheets","sheet","2155","","202","4ft x 8ft","1.0mm","HL","Stainless sheet 202 HL 1.0mm","0"
"SS-SHT202-HL-1P2","SS Sheet 202 HL 1.2mm","Stainless Sheets","sheet","2597","","202","4ft x 8ft","1.2mm","HL","Stainless sheet 202 HL 1.2mm","0"
"SS-SHT202-HL-1P5","SS Sheet 202 HL 1.5mm","Stainless Sheets","sheet","3259","","202","4ft x 8ft","1.5mm","HL","Stainless sheet 202 HL 1.5mm","0"
"SS-SHT202-HL-2P0","SS Sheet 202 HL 2.0mm","Stainless Sheets","sheet","4403","","202","4ft x 8ft","2.0mm","HL","Stainless sheet 202 HL 2.0mm","0"
"SS-SHT202-HL-3P0","SS Sheet 202 HL 3.0mm","Stainless Sheets","sheet","6647","","202","4ft x 8ft","3.0mm","HL","Stainless sheet 202 HL 3.0mm","0"
"SS-SHT202-2BCHK-1P0","SS Sheet 202 2B CHK 1.0mm","Stainless Sheets","sheet","2155","","202","4ft x 8ft","1.0mm","2B CHK","Stainless sheet 202 2B CHK 1.0mm","0"
"SS-SHT202-2BCHK-1P2","SS Sheet 202 2B CHK 1.2mm","Stainless Sheets","sheet","2597","","202","4ft x 8ft","1.2mm","2B CHK","Stainless sheet 202 2B CHK 1.2mm","0"
"SS-SHT202-2BCHK-1P5","SS Sheet 202 2B CHK 1.5mm","Stainless Sheets","sheet","3259","","202","4ft x 8ft","1.5mm","2B CHK","Stainless sheet 202 2B CHK 1.5mm","0"
"SS-SHT202-2BCHK-2P0","SS Sheet 202 2B CHK 2.0mm","Stainless Sheets","sheet","4403","","202","4ft x 8ft","2.0mm","2B CHK","Stainless sheet 202 2B CHK 2.0mm","0"
"SS-SHT202-2BCHK-3P0","SS Sheet 202 2B CHK 3.0mm","Stainless Sheets","sheet","6647","","202","4ft x 8ft","3.0mm","2B CHK","Stainless sheet 202 2B CHK 3.0mm","0"
"SS-SHT202-MIRCHK-0P6","SS Sheet 202 MIR CHK 0.6mm","Stainless Sheets","sheet","1386","","202","4ft x 8ft","0.6mm","MIR CHK","Stainless sheet 202 MIR CHK 0.6mm","0"
"SS-SHT202-MIRCHK-0P7","SS Sheet 202 MIR CHK 0.7mm","Stainless Sheets","sheet","1609","","202","4ft x 8ft","0.7mm","MIR CHK","Stainless sheet 202 MIR CHK 0.7mm","0"
"SS-SHT202-MIRCHK-0P8","SS Sheet 202 MIR CHK 0.8mm","Stainless Sheets","sheet","1837","","202","4ft x 8ft","0.8mm","MIR CHK","Stainless sheet 202 MIR CHK 0.8mm","0"
"SS-SHT202-MIRCHK-0P9","SS Sheet 202 MIR CHK 0.9mm","Stainless Sheets","sheet","2030","","202","4ft x 8ft","0.9mm","MIR CHK","Stainless sheet 202 MIR CHK 0.9mm","0"
"SS-SHT202-MIRCHK-1P0","SS Sheet 202 MIR CHK 1.0mm","Stainless Sheets","sheet","2303","","202","4ft x 8ft","1.0mm","MIR CHK","Stainless sheet 202 MIR CHK 1.0mm","0"
"SS-SHT202-MIRCHK-1P2","SS Sheet 202 MIR CHK 1.2mm","Stainless Sheets","sheet","2755","","202","4ft x 8ft","1.2mm","MIR CHK","Stainless sheet 202 MIR CHK 1.2mm","0"
"SS-SHT202-MIRCHK-1P5","SS Sheet 202 MIR CHK 1.5mm","Stainless Sheets","sheet","3534","","202","4ft x 8ft","1.5mm","MIR CHK","Stainless sheet 202 MIR CHK 1.5mm","0"
"SS-SHT304-2B-0P4","SS Sheet 304 2B 0.4mm","Stainless Sheets","sheet","1372","","304","4ft x 8ft","0.4mm","2B","Stainless sheet 304 2B 0.4mm","0"
"SS-SHT304-2B-0P5","SS Sheet 304 2B 0.5mm","Stainless Sheets","sheet","1622","","304","4ft x 8ft","0.5mm","2B","Stainless sheet 304 2B 0.5mm","0"
"SS-SHT304-2B-0P6","SS Sheet 304 2B 0.6mm","Stainless Sheets","sheet","2009","","304","4ft x 8ft","0.6mm","2B","Stainless sheet 304 2B 0.6mm","0"
"SS-SHT304-2B-0P7","SS Sheet 304 2B 0.7mm","Stainless Sheets","sheet","2359","","304","4ft x 8ft","0.7mm","2B","Stainless sheet 304 2B 0.7mm","0"
"SS-SHT304-2B-0P8","SS Sheet 304 2B 0.8mm","Stainless Sheets","sheet","2714","","304","4ft x 8ft","0.8mm","2B","Stainless sheet 304 2B 0.8mm","0"
"SS-SHT304-2B-0P9","SS Sheet 304 2B 0.9mm","Stainless Sheets","sheet","3086","","304","4ft x 8ft","0.9mm","2B","Stainless sheet 304 2B 0.9mm","0"
"SS-SHT304-2B-1P0","SS Sheet 304 2B 1.0mm","Stainless Sheets","sheet","3464","","304","4ft x 8ft","1.0mm","2B","Stainless sheet 304 2B 1.0mm","0"
"SS-SHT304-2B-1P2","SS Sheet 304 2B 1.2mm","Stainless Sheets","sheet","4223","","304","4ft x 8ft","1.2mm","2B","Stainless sheet 304 2B 1.2mm","0"
"SS-SHT304-2B-1P5","SS Sheet 304 2B 1.5mm","Stainless Sheets","sheet","5361","","304","4ft x 8ft","1.5mm","2B","Stainless sheet 304 2B 1.5mm","0"
"SS-SHT304-2B-2P0","SS Sheet 304 2B 2.0mm","Stainless Sheets","sheet","7265","","304","4ft x 8ft","2.0mm","2B","Stainless sheet 304 2B 2.0mm","0"
"SS-SHT304-2B-3P0","SS Sheet 304 2B 3.0mm","Stainless Sheets","sheet","11103","","304","4ft x 8ft","3.0mm","2B","Stainless sheet 304 2B 3.0mm","0"
"SS-SHT304-MIR-0P4","SS Sheet 304 MIR 0.4mm","Stainless Sheets","sheet","1594","","304","4ft x 8ft","0.4mm","MIR","Stainless sheet 304 MIR 0.4mm","0"
"SS-SHT304-MIR-0P5","SS Sheet 304 MIR 0.5mm","Stainless Sheets","sheet","1844","","304","4ft x 8ft","0.5mm","MIR","Stainless sheet 304 MIR 0.5mm","0"
"SS-SHT304-MIR-0P6","SS Sheet 304 MIR 0.6mm","Stainless Sheets","sheet","2231","","304","4ft x 8ft","0.6mm","MIR","Stainless sheet 304 MIR 0.6mm","0"
"SS-SHT304-MIR-0P7","SS Sheet 304 MIR 0.7mm","Stainless Sheets","sheet","2580","","304","4ft x 8ft","0.7mm","MIR","Stainless sheet 304 MIR 0.7mm","0"
"SS-SHT304-MIR-0P8","SS Sheet 304 MIR 0.8mm","Stainless Sheets","sheet","2936","","304","4ft x 8ft","0.8mm","MIR","Stainless sheet 304 MIR 0.8mm","0"
"SS-SHT304-MIR-0P9","SS Sheet 304 MIR 0.9mm","Stainless Sheets","sheet","3308","","304","4ft x 8ft","0.9mm","MIR","Stainless sheet 304 MIR 0.9mm","0"
"SS-SHT304-MIR-1P0","SS Sheet 304 MIR 1.0mm","Stainless Sheets","sheet","3686","","304","4ft x 8ft","1.0mm","MIR","Stainless sheet 304 MIR 1.0mm","0"
"SS-SHT304-MIR-1P2","SS Sheet 304 MIR 1.2mm","Stainless Sheets","sheet","4497","","304","4ft x 8ft","1.2mm","MIR","Stainless sheet 304 MIR 1.2mm","0"
"SS-SHT304-MIR-1P5","SS Sheet 304 MIR 1.5mm","Stainless Sheets","sheet","5635","","304","4ft x 8ft","1.5mm","MIR","Stainless sheet 304 MIR 1.5mm","0"
"SS-SHT304-MIR-2P0","SS Sheet 304 MIR 2.0mm","Stainless Sheets","sheet","7571","","304","4ft x 8ft","2.0mm","MIR","Stainless sheet 304 MIR 2.0mm","0"
"SS-SHT304-MIR-3P0","SS Sheet 304 MIR 3.0mm","Stainless Sheets","sheet","11409","","304","4ft x 8ft","3.0mm","MIR","Stainless sheet 304 MIR 3.0mm","0"
"SS-SHT304-HL-0P6","SS Sheet 304 HL 0.6mm","Stainless Sheets","sheet","2263","","304","4ft x 8ft","0.6mm","HL","Stainless sheet 304 HL 0.6mm","0"
"SS-SHT304-HL-0P7","SS Sheet 304 HL 0.7mm","Stainless Sheets","sheet","2612","","304","4ft x 8ft","0.7mm","HL","Stainless sheet 304 HL 0.7mm","0"
"SS-SHT304-HL-0P8","SS Sheet 304 HL 0.8mm","Stainless Sheets","sheet","2967","","304","4ft x 8ft","0.8mm","HL","Stainless sheet 304 HL 0.8mm","0"
"SS-SHT304-HL-0P9","SS Sheet 304 HL 0.9mm","Stainless Sheets","sheet","3339","","304","4ft x 8ft","0.9mm","HL","Stainless sheet 304 HL 0.9mm","0"
"SS-SHT304-HL-1P0","SS Sheet 304 HL 1.0mm","Stainless Sheets","sheet","3718","","304","4ft x 8ft","1.0mm","HL","Stainless sheet 304 HL 1.0mm","0"
"SS-SHT304-HL-1P2","SS Sheet 304 HL 1.2mm","Stainless Sheets","sheet","4497","","304","4ft x 8ft","1.2mm","HL","Stainless sheet 304 HL 1.2mm","0"
"SS-SHT304-HL-1P5","SS Sheet 304 HL 1.5mm","Stainless Sheets","sheet","5635","","304","4ft x 8ft","1.5mm","HL","Stainless sheet 304 HL 1.5mm","0"
"SS-SHT304-HL-2P0","SS Sheet 304 HL 2.0mm","Stainless Sheets","sheet","7872","","304","4ft x 8ft","2.0mm","HL","Stainless sheet 304 HL 2.0mm","0"
"SS-SHT304-HL-3P0","SS Sheet 304 HL 3.0mm","Stainless Sheets","sheet","11399","","304","4ft x 8ft","3.0mm","HL","Stainless sheet 304 HL 3.0mm","0"
"SS-SHT304-2BCHK-0P9","SS Sheet 304 2B CHK 0.9mm","Stainless Sheets","sheet","3339","","304","4ft x 8ft","0.9mm","2B CHK","Stainless sheet 304 2B CHK 0.9mm","0"
"SS-SHT304-2BCHK-1P0","SS Sheet 304 2B CHK 1.0mm","Stainless Sheets","sheet","3718","","304","4ft x 8ft","1.0mm","2B CHK","Stainless sheet 304 2B CHK 1.0mm","0"
"SS-SHT304-2BCHK-1P2","SS Sheet 304 2B CHK 1.2mm","Stainless Sheets","sheet","4497","","304","4ft x 8ft","1.2mm","2B CHK","Stainless sheet 304 2B CHK 1.2mm","0"
"SS-SHT304-2BCHK-1P5","SS Sheet 304 2B CHK 1.5mm","Stainless Sheets","sheet","5635","","304","4ft x 8ft","1.5mm","2B CHK","Stainless sheet 304 2B CHK 1.5mm","0"
"SS-SHT304-2BCHK-2P0","SS Sheet 304 2B CHK 2.0mm","Stainless Sheets","sheet","7561","","304","4ft x 8ft","2.0mm","2B CHK","Stainless sheet 304 2B CHK 2.0mm","0"
"SS-SHT304-2BCHK-3P0","SS Sheet 304 2B CHK 3.0mm","Stainless Sheets","sheet","11399","","304","4ft x 8ft","3.0mm","2B CHK","Stainless sheet 304 2B CHK 3.0mm","0"
"SS-SHT304-1B-4P0","SS Sheet 304 1B 4.0mm","Stainless Plates","sheet","13620","","304","4ft x 8ft","4.0mm","1B","Stainless sheet 304 1B 4.0mm","0"
"SS-SHT304-1B-5P0","SS Sheet 304 1B 5.0mm","Stainless Plates","sheet","15799","","304","4ft x 8ft","5.0mm","1B","Stainless sheet 304 1B 5.0mm","0"
"SS-SHT304-1B-6P0","SS Sheet 304 1B 6.0mm","Stainless Plates","sheet","18161","","304","4ft x 8ft","6.0mm","1B","Stainless sheet 304 1B 6.0mm","0"
"SS-SHT304-PERF-1X4","SS Perforated Sheet 304 1.0 x 4mm","Stainless Sheets","sheet","3347","","304","1.0 x 4mm","1.0mm","PERFORATED","Stainless perforated sheet 304 1.0 x 4mm hole","0"
"SS-RT202-1-2X1P2","SS Round Tube 202 1/2"" x 1.2mm","Stainless Tubes","pc","198","","202","1/2"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 1/2"" x 1.2mm Standard","0"
"SS-RT202-5-8X1P2","SS Round Tube 202 5/8"" x 1.2mm","Stainless Tubes","pc","252","","202","5/8"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 5/8"" x 1.2mm Standard","0"
"SS-RT202-3-4X1P2","SS Round Tube 202 3/4"" x 1.2mm","Stainless Tubes","pc","291","","202","3/4"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 3/4"" x 1.2mm Standard","0"
"SS-RT202-7-8X1P2","SS Round Tube 202 7/8"" x 1.2mm","Stainless Tubes","pc","346","","202","7/8"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 7/8"" x 1.2mm Standard","0"
"SS-RT202-1X1P2","SS Round Tube 202 1"" x 1.2mm","Stainless Tubes","pc","390","","202","1"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 1"" x 1.2mm Standard","0"
"SS-RT202-11-4X1P2","SS Round Tube 202 1 1/4"" x 1.2mm","Stainless Tubes","pc","519","","202","1 1/4"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 1 1/4"" x 1.2mm Standard","0"
"SS-RT202-11-2X1P2","SS Round Tube 202 1 1/2"" x 1.2mm","Stainless Tubes","pc","621","","202","1 1/2"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 1 1/2"" x 1.2mm Standard","0"
"SS-RT202-13-4X1P2","SS Round Tube 202 1 3/4"" x 1.2mm","Stainless Tubes","pc","740","","202","1 3/4"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 1 3/4"" x 1.2mm Standard","0"
"SS-RT202-2X1P2","SS Round Tube 202 2"" x 1.2mm","Stainless Tubes","pc","848","","202","2"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 2"" x 1.2mm Standard","0"
"SS-RT202-21-2X1P2","SS Round Tube 202 2 1/2"" x 1.2mm","Stainless Tubes","pc","1028","","202","2 1/2"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 2 1/2"" x 1.2mm Standard","0"
"SS-RT202-3X1P2","SS Round Tube 202 3"" x 1.2mm","Stainless Tubes","pc","1282","","202","3"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 3"" x 1.2mm Standard","0"
"SS-RT202-4X1P2","SS Round Tube 202 4"" x 1.2mm","Stainless Tubes","pc","1715","","202","4"" x 1.2mm","1.2mm","Standard","Stainless round tube 202 4"" x 1.2mm Standard","0"
"SS-RT202-1-2X1P5","SS Round Tube 202 1/2"" x 1.5mm","Stainless Tubes","pc","238","","202","1/2"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 1/2"" x 1.5mm Standard","0"
"SS-RT202-5-8X1P5","SS Round Tube 202 5/8"" x 1.5mm","Stainless Tubes","pc","304","","202","5/8"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 5/8"" x 1.5mm Standard","0"
"SS-RT202-3-4X1P5","SS Round Tube 202 3/4"" x 1.5mm","Stainless Tubes","pc","371","","202","3/4"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 3/4"" x 1.5mm Standard","0"
"SS-RT202-7-8X1P5","SS Round Tube 202 7/8"" x 1.5mm","Stainless Tubes","pc","432","","202","7/8"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 7/8"" x 1.5mm Standard","0"
"SS-RT202-1X1P5","SS Round Tube 202 1"" x 1.5mm","Stainless Tubes","pc","492","","202","1"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 1"" x 1.5mm Standard","0"
"SS-RT202-11-4X1P5","SS Round Tube 202 1 1/4"" x 1.5mm","Stainless Tubes","pc","632","","202","1 1/4"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 1 1/4"" x 1.5mm Standard","0"
"SS-RT202-11-2X1P5","SS Round Tube 202 1 1/2"" x 1.5mm","Stainless Tubes","pc","768","","202","1 1/2"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 1 1/2"" x 1.5mm Standard","0"
"SS-RT202-13-4X1P5","SS Round Tube 202 1 3/4"" x 1.5mm","Stainless Tubes","pc","903","","202","1 3/4"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 1 3/4"" x 1.5mm Standard","0"
"SS-RT202-2X1P5","SS Round Tube 202 2"" x 1.5mm","Stainless Tubes","pc","1035","","202","2"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 2"" x 1.5mm Standard","0"
"SS-RT202-21-2X1P5","SS Round Tube 202 2 1/2"" x 1.5mm","Stainless Tubes","pc","1292","","202","2 1/2"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 2 1/2"" x 1.5mm Standard","0"
"SS-RT202-3X1P5","SS Round Tube 202 3"" x 1.5mm","Stainless Tubes","pc","1567","","202","3"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 3"" x 1.5mm Standard","0"
"SS-RT202-4X1P5","SS Round Tube 202 4"" x 1.5mm","Stainless Tubes","pc","2099","","202","4"" x 1.5mm","1.5mm","Standard","Stainless round tube 202 4"" x 1.5mm Standard","0"
"SS-SQT202-1-2X1-2X1P2","SS Square Tube 202 1/2"" x 1/2"" x 1.2mm","Stainless Tubes","pc","264","","202","1/2"" x 1/2"" x 1.2mm","1.2mm","Standard","Stainless square tube 202 1/2"" x 1/2"" x 1.2mm Standard","0"
"SS-SQT202-3-4X3-4X1P2","SS Square Tube 202 3/4"" x 3/4"" x 1.2mm","Stainless Tubes","pc","365","","202","3/4"" x 3/4"" x 1.2mm","1.2mm","Standard","Stainless square tube 202 3/4"" x 3/4"" x 1.2mm Standard","0"
"SS-SQT202-1X1X1P2","SS Square Tube 202 1"" x 1"" x 1.2mm","Stainless Tubes","pc","492","","202","1"" x 1"" x 1.2mm","1.2mm","Standard","Stainless square tube 202 1"" x 1"" x 1.2mm Standard","0"
"SS-SQT202-11-4X11-4X1P2","SS Square Tube 202 1 1/4"" x 1 1/4"" x 1.2mm","Stainless Tubes","pc","599","","202","1 1/4"" x 1 1/4"" x 1.2mm","1.2mm","Standard","Stainless square tube 202 1 1/4"" x 1 1/4"" x 1.2mm Standard","0"
"SS-SQT202-11-2X11-2X1P2","SS Square Tube 202 1 1/2"" x 1 1/2"" x 1.2mm","Stainless Tubes","pc","789","","202","1 1/2"" x 1 1/2"" x 1.2mm","1.2mm","Standard","Stainless square tube 202 1 1/2"" x 1 1/2"" x 1.2mm Standard","0"
"SS-SQT202-2X2X1P2","SS Square Tube 202 2"" x 2"" x 1.2mm","Stainless Tubes","pc","1074","","202","2"" x 2"" x 1.2mm","1.2mm","Standard","Stainless square tube 202 2"" x 2"" x 1.2mm Standard","0"
"SS-SQT202-1-2X1-2X1P5","SS Square Tube 202 1/2"" x 1/2"" x 1.5mm","Stainless Tubes","pc","323","","202","1/2"" x 1/2"" x 1.5mm","1.5mm","Standard","Stainless square tube 202 1/2"" x 1/2"" x 1.5mm Standard","0"
"SS-SQT202-3-4X3-4X1P5","SS Square Tube 202 3/4"" x 3/4"" x 1.5mm","Stainless Tubes","pc","490","","202","3/4"" x 3/4"" x 1.5mm","1.5mm","Standard","Stainless square tube 202 3/4"" x 3/4"" x 1.5mm Standard","0"
"SS-SQT202-1X1X1P5","SS Square Tube 202 1"" x 1"" x 1.5mm","Stainless Tubes","pc","650","","202","1"" x 1"" x 1.5mm","1.5mm","Standard","Stainless square tube 202 1"" x 1"" x 1.5mm Standard","0"
"SS-SQT202-11-4X11-4X1P5","SS Square Tube 202 1 1/4"" x 1 1/4"" x 1.5mm","Stainless Tubes","pc","750","","202","1 1/4"" x 1 1/4"" x 1.5mm","1.5mm","Standard","Stainless square tube 202 1 1/4"" x 1 1/4"" x 1.5mm Standard","0"
"SS-SQT202-11-2X11-2X1P5","SS Square Tube 202 1 1/2"" x 1 1/2"" x 1.5mm","Stainless Tubes","pc","996","","202","1 1/2"" x 1 1/2"" x 1.5mm","1.5mm","Standard","Stainless square tube 202 1 1/2"" x 1 1/2"" x 1.5mm Standard","0"
"SS-SQT202-2X2X1P5","SS Square Tube 202 2"" x 2"" x 1.5mm","Stainless Tubes","pc","1319","","202","2"" x 2"" x 1.5mm","1.5mm","Standard","Stainless square tube 202 2"" x 2"" x 1.5mm Standard","0"
"SS-RCT202-1-2X1X1P2","SS Rectangular Tube 202 1/2"" x 1"" x 1.2mm","Stainless Tubes","pc","398","","202","1/2"" x 1"" x 1.2mm","1.2mm","Standard","Stainless rectangular tube 202 1/2"" x 1"" x 1.2mm Standard","0"
"SS-RCT202-1-2X2X1P2","SS Rectangular Tube 202 1/2"" x 2"" x 1.2mm","Stainless Tubes","pc","671","","202","1/2"" x 2"" x 1.2mm","1.2mm","Standard","Stainless rectangular tube 202 1/2"" x 2"" x 1.2mm Standard","0"
"SS-RCT202-5-8X11-4X1P2","SS Rectangular Tube 202 5/8"" x 1 1/4"" x 1.2mm","Stainless Tubes","pc","476","","202","5/8"" x 1 1/4"" x 1.2mm","1.2mm","Standard","Stainless rectangular tube 202 5/8"" x 1 1/4"" x 1.2mm Standard","0"
"SS-RCT202-1X11-2X1P2","SS Rectangular Tube 202 1"" x 1 1/2"" x 1.2mm","Stainless Tubes","pc","671","","202","1"" x 1 1/2"" x 1.2mm","1.2mm","Standard","Stainless rectangular tube 202 1"" x 1 1/2"" x 1.2mm Standard","0"
"SS-RCT202-1X2X1P2","SS Rectangular Tube 202 1"" x 2"" x 1.2mm","Stainless Tubes","pc","803","","202","1"" x 2"" x 1.2mm","1.2mm","Standard","Stainless rectangular tube 202 1"" x 2"" x 1.2mm Standard","0"
"SS-RCT202-1X3X1P2","SS Rectangular Tube 202 1"" x 3"" x 1.2mm","Stainless Tubes","pc","1072","","202","1"" x 3"" x 1.2mm","1.2mm","Standard","Stainless rectangular tube 202 1"" x 3"" x 1.2mm Standard","0"
"SS-RCT202-2X3X1P2","SS Rectangular Tube 202 2"" x 3"" x 1.2mm","Stainless Tubes","pc","1342","","202","2"" x 3"" x 1.2mm","1.2mm","Standard","Stainless rectangular tube 202 2"" x 3"" x 1.2mm Standard","0"
"SS-RCT202-2X4X1P2","SS Rectangular Tube 202 2"" x 4"" x 1.2mm","Stainless Tubes","pc","1615","","202","2"" x 4"" x 1.2mm","1.2mm","Standard","Stainless rectangular tube 202 2"" x 4"" x 1.2mm Standard","0"
"SS-RCT202-1-2X1X1P5","SS Rectangular Tube 202 1/2"" x 1"" x 1.5mm","Stainless Tubes","pc","486","","202","1/2"" x 1"" x 1.5mm","1.5mm","Standard","Stainless rectangular tube 202 1/2"" x 1"" x 1.5mm Standard","0"
"SS-RCT202-1X11-2X1P5","SS Rectangular Tube 202 1"" x 1 1/2"" x 1.5mm","Stainless Tubes","pc","807","","202","1"" x 1 1/2"" x 1.5mm","1.5mm","Standard","Stainless rectangular tube 202 1"" x 1 1/2"" x 1.5mm Standard","0"
"SS-RCT202-1X2X1P5","SS Rectangular Tube 202 1"" x 2"" x 1.5mm","Stainless Tubes","pc","983","","202","1"" x 2"" x 1.5mm","1.5mm","Standard","Stainless rectangular tube 202 1"" x 2"" x 1.5mm Standard","0"
"SS-RCT202-1X3X1P5","SS Rectangular Tube 202 1"" x 3"" x 1.5mm","Stainless Tubes","pc","1316","","202","1"" x 3"" x 1.5mm","1.5mm","Standard","Stainless rectangular tube 202 1"" x 3"" x 1.5mm Standard","0"
